provincia|partido|localidad|nombre_localidad|cod_2024
06|266|160|TORRES|
06|270|010|EZEIZA|
06|274|010|FLORENCIO VARELA|
06|277|010|BLAQUIER|
06|277|020|FLORENTINO AMEGHINO|
06|277|030|PORVENIR|
06|280|005|CENTINELA DEL MAR|
06|280|010|COMANDANTE NICANOR OTAMENDI|
06|280|020|MAR DEL SUR|
06|280|030|MECHONGUE|
06|280|040|MIRAMAR|
06|287|010|GENERAL ALVEAR|
06|294|010|ARRIBE├æOS|
06|294|020|ASCENSION|
06|294|030|ESTACION ARENALES|
06|294|040|FERRE - LA TRINIDAD|
06|294|050|GENERAL ARENALES|
06|294|060|LA ANGELITA|
06|301|010|GENERAL BELGRANO|
06|301|020|GORCHS|
06|301|030|CHAS|
06|308|010|GENERAL GUIDO|
06|308|020|LABARDEN|
06|315|010|GENERAL JUAN  MADARIAGA|
06|315|020|DIVISADERO|
06|322|010|GENERAL LA MADRID|
06|322|020|LA COLINA|
06|322|030|LAS MARTINETAS|
06|322|040|LIBANO|
06|322|050|PONTAUT|
06|329|020|GENERAL LAS HERAS|
06|329|030|LA CHOZA|
06|329|050|PLOMER|
06|329|060|VILLARS|
06|336|020|GENERAL LAVALLE|
06|336|030|PAVON|
06|343|020|LOMA VERDE|
06|343|030|RANCHOS|
06|343|040|VILLANUEVA - RIO SALADO|
06|351|010|IRIARTE|
06|351|020|GENERAL PINTO|
06|351|030|GERMANIA|
06|351|035|GUNTHER|
06|351|040|CORONEL GRANADA|
06|351|050|VILLA ROTH|
06|357|020|BARRIO EL BOQUERON|
06|357|060|BARRIO SANTA PAULA|
06|357|080|CHAPADMALAL|
06|357|090|EL MARQUESADO|
06|357|110|MAR DEL PLATA|
06|357|120|SIERRA DE LOS PADRES|
06|364|005|AERO COUNTRY CLUB|
06|364|015|BARRIO RUTA 24 KM. 23.5|
06|364|030|GENERAL RODRIGUEZ|
06|371|010|GENERAL SAN MARTIN|
06|385|010|BAIGORRITA|
06|385|020|LA DELFINA|
06|385|030|LOS TOLDOS|
06|385|040|SAN EMILIO|
06|385|050|ZAVALIA|
06|392|010|BANDERALO|
06|392|020|CA├æADA SECA|
06|392|030|CORONEL CHARLONE|
06|392|040|EMILIO V. BUNGE|
06|392|050|GENERAL VILLEGAS|
06|392|060|MASSEY|
06|392|070|PICHINCHA|
06|392|080|PIEDRITAS|
06|392|090|SANTA ELEODORA|
06|392|100|SANTA REGINA|
06|392|110|VILLA SABOYA|
06|392|120|VILLA SAUZE|
06|399|010|ARROYO VENADO|
06|399|020|CASBAS|
06|399|030|GARRE|
06|399|040|GUAMINI|
06|399|050|LAGUNA ALSINA|
06|399|060|BALNEARIO COCHICO|
06|406|010|HENDERSON|
06|406|020|HERRERA VEGAS|
06|408|010|HURLINGHAM|
06|410|010|ITUZAINGO|
06|412|010|JOSE C. PAZ|
06|413|010|AGUSTIN ROCA|
06|413|020|AGUSTINA|
06|413|040|FORTIN TIBURCIO|
06|413|050|JUNIN|
06|413|055|PARAJE LA AGRARIA|
06|413|060|LAPLACETTE|
06|413|070|MORSE|
06|413|080|SAFORCADA|
06|420|030|SAN CLEMENTE DEL TUYU|
06|420|040|LA COSTA|
06|420|050|COSTA ESMERALDA|
06|420|060|PUNTA MEDANOS|
06|420|070|VILLA ROBLES|
06|420|080|KILOMETRO 314|
06|427|010|LA MATANZA|
06|434|010|LANUS|
06|441|030|LA PLATA|
06|441|060|ISLA MARTIN GARCIA|
06|448|010|LAPRIDA|
06|448|020|PUEBLO NUEVO|
06|448|030|PUEBLO SAN JORGE|
06|455|010|CORONEL BOERR|
06|455|020|EL TRIGO|
06|455|030|LAS FLORES|
06|455|040|PARDO|
06|455|050|ROSAS|
06|462|010|ALBERDI VIEJO|
06|462|020|EL DORADO|
06|462|030|FORTIN ACHA|
06|462|040|JUAN BAUTISTA ALBERDI|
06|462|050|LEANDRO N. ALEM|
06|462|060|VEDIA|
06|466|010|LEZAMA|
06|466|020|EL DESTINO|
06|466|030|MONASTERIO|
06|469|010|ARENAZA|
06|469|020|BAYAUCA|
06|469|030|BERMUDEZ|
06|469|040|CARLOS SALAS|
06|469|050|CORONEL MARTINEZ DE HOZ|
