provincia|calle|nombre_calle|cod_2024
2|1885|BAHIA BLANCA|2008
2|1890|BAIGORRI|2009
2|1895|BAIGORRIA|2010
2|3505|CARMEN BALANDRA|2147
2|1900|BALBASTRO|2011
2|6700|JOSE C BALBIN|2012
2|1905|BALBOA|2013
2|1910|BALCARCE|2014
2|5515|FLORENCIO BALCARCE|2015
2|4710|DR PEDRO LUIS BALINA|9017
2|705|ANTONIO VESPUCIO LIBERTI|
2|1920|BALLIVIAN|2018
2|6815|JOSE R BALTORE|2017
2|5155|ENRIQUE BANCHS|2155
2|1930|BARADERO|2019
2|1935|BARAGANA|2020
2|1940|BARCA CABO DE HORNOS|2140
2|1945|BARCALA|2021
2|1950|BARCELONA|2022
2|445|ALMIRANTE ATILIO SIXTO BARILARI|2024
2|1955|BARILOCHE|2025
2|4720|DR RAMON CARRILLO|2139
2|1960|BARRAGAN|2027
2|1965|BARRIENTOS|2028
2|6685|JOSE BARROS PAZOS|2029
2|1980|BARZANA|2023
2|1985|BASAVILBASO|2030
2|7475|LEOPOLDO BASAVILBASO|2031
2|2000|BASUALDO|2032
2|2005|BATALLA DEL PARI|17139
2|6555|J F BATEMAN|2033
2|2010|BATHURST|2034
2|6565|J P T BATLLE Y ORDONEZ|20117
2|2015|BAUNESS|2035
2|5610|FRANCISCO BAUZA|2036
2|5230|ERNESTO A BAVIO|2037
2|2020|BAZURCO|2038
2|2025|PASAJE LOS ALPES|12138
2|2035|BEAUCHEF|2039
2|2040|BEAZLEY|2040
2|5095|EMILIO BECHER|2041
2|5080|ELIAS BEDOYA|2042
2|2045|BEETHOVEN|2043
2|2050|BEHRING|2044
2|1350|AV FRANCISCO BEIRO|2045
2|4670|DR LUIS BELAUSTEGUI|2046
2|2055|BELEN|2047
2|2060|BELFAST|2048
2|2065|BELGICA|2049
2|2070|BELGRADO|2050
2|1040|AV BELGRANO|2051
2|2075|BELL VILLE|2052
2|2080|BELLA VISTA|2053
2|605|ANDRES BELLO|2137
2|8830|OSVALDO E BENEDETTI|12031
2|3455|CARLOS JAVIER BENIELLI|2055
2|2407|CABO 1ER JULIO OMAR BENITEZ|30113
2|3405|CARLOS BERG|2056
2|2100|BERGANTIN CONGRESO NACIONAL|2152
2|2105|BERGANTIN ECHAGUE|
2|2110|BERGANTIN ESPORA|2141
2|2115|BERGANTIN GENERAL BALCARCE|2143
2|2120|BERGANTIN GENERAL BELGRANO|2142
2|2125|BERGANTIN NANCY|2148
2|2130|BERGANTIN VIGILANTE|2150
2|2135|BERLIN|2057
2|2140|BERMEJO|2058
2|4545|DR ANTONIO BERMEJO|2145
2|2145|BERMUDEZ|2059
2|690|ANTONIO BERMUDEZ|2060
2|6635|JORGE BERMUDEZ|2061
2|2150|BERNA|2062
2|2155|BERNAL|2063
2|2160|BERNALDES|2064
2|4020|CONSCRIPTO BERNARDI|2065
2|8020|MARIO BERNASCONI|17133
2|2175|BERON DE ASTRADA|2067
2|970|AV ADOLFO BERRO|2068
2|2180|BERTHELOT|2069
2|2185|BERTRES|2070
